,Team,Date,Opponent,Result,Location
0,Gonzaga,Tue Nov 9,Dixie St.,W,Home
1,Gonzaga,Sat Nov 13,Texas,W,Home
2,Gonzaga,Mon Nov 15,Alcorn St.,W,Home
3,Gonzaga,Fri Nov 19,Bellarmine,W,Home
4,Gonzaga,Mon Nov 22,Central Michigan,W,Neutral
5,Gonzaga,Tue Nov 23,UCLA,W,Neutral
6,Gonzaga,Fri Nov 26,Duke,L,Neutral
7,Gonzaga,Mon Nov 29,Tarleton St.,W,Home
8,Gonzaga,Sat Dec 4,Alabama,L,Semi-Home
9,Gonzaga,Thu Dec 9,Merrimack,W,Home
10,Gonzaga,Sat Dec 18,Texas Tech,W,Neutral
11,Gonzaga,Mon Dec 20,Northern Arizona,W,Home
12,Gonzaga,Tue Dec 28,North Alabama,W,Home
13,Gonzaga,Sat Jan 8,Pepperdine,W,Home
14,Gonzaga,Thu Jan 13,BYU,W,Home
15,Gonzaga,Sat Jan 15,Santa Clara,W,Away
16,Gonzaga,Thu Jan 20,San Francisco,W,Home
17,Gonzaga,Thu Jan 27,Loyola Marymount,W,Home
18,Gonzaga,Sat Jan 29,Portland,W,Home
19,Gonzaga,Thu Feb 3,San Diego,W,Away
20,Gonzaga,Sat Feb 5,BYU,W,Away
21,Gonzaga,Thu Feb 10,Pacific,W,Home
22,Gonzaga,Sat Feb 12,Saint Mary's,W,Home
23,Gonzaga,Wed Feb 16,Pepperdine,W,Away
24,Gonzaga,Sat Feb 19,Santa Clara,W,Home
25,Gonzaga,Thu Feb 24,San Francisco,W,Away
26,Gonzaga,Sat Feb 26,Saint Mary's,L,Away
27,Gonzaga,Mon Mar 7,San Francisco,W,Neutral
28,Gonzaga,Tue Mar 8,Saint Mary's,W,Neutral
29,Gonzaga,Thu Mar 17,Georgia St.,W,Neutral
30,Gonzaga,Sat Mar 19,Memphis,W,Neutral
31,Gonzaga,Thu Mar 24,Arkansas,L,Neutral
32,Houston,Tue Nov 9,Hofstra,W,Home
33,Houston,Fri Nov 12,Rice,W,Home
34,Houston,Tue Nov 16,Virginia,W,Home
35,Houston,Mon Nov 22,Butler,W,Neutral
36,Houston,Tue Nov 23,Wisconsin,L,Neutral
37,Houston,Wed Nov 24,Oregon,W,Neutral
38,Houston,Tue Nov 30,Northwestern St.,W,Home
39,Houston,Fri Dec 3,Bryant,W,Home
40,Houston,Mon Dec 6,Alcorn St.,W,Home
41,Houston,Sat Dec 11,Alabama,L,Away
42,Houston,Tue Dec 14,Louisiana,W,Home
43,Houston,Sat Dec 18,Oklahoma St.,W,Neutral
44,Houston,Wed Dec 22,Texas St.,W,Home
45,Houston,Sun Jan 2,Temple,W,Away
46,Houston,Wed Jan 5,South Florida,W,Away
47,Houston,Sat Jan 8,Wichita St.,W,Home
48,Houston,Sat Jan 15,Tulsa,W,Away
49,Houston,Tue Jan 18,South Florida,W,Home
50,Houston,Sat Jan 22,East Carolina,W,Home
51,Houston,Sat Jan 29,UCF,W,Away
52,Houston,Wed Feb 2,Tulane,W,Home
53,Houston,Sun Feb 6,Cincinnati,W,Away
54,Houston,Wed Feb 9,SMU,L,Away
55,Houston,Sat Feb 12,Memphis,L,Home
56,Houston,Thu Feb 17,UCF,W,Home
57,Houston,Sun Feb 20,Wichita St.,W,Away
58,Houston,Wed Feb 23,Tulane,W,Away
59,Houston,Sun Feb 27,SMU,W,Home
60,Houston,Tue Mar 1,Cincinnati,W,Home
61,Houston,Thu Mar 3,Temple,W,Home
62,Houston,Sun Mar 6,Memphis,L,Away
63,Houston,Fri Mar 11,Cincinnati,W,Neutral
64,Houston,Sat Mar 12,Tulane,W,Neutral
65,Houston,Sun Mar 13,Memphis,W,Neutral
66,Houston,Fri Mar 18,UAB,W,Neutral
67,Houston,Sun Mar 20,Illinois,W,Neutral
68,Houston,Thu Mar 24,Arizona,W,Neutral
69,Houston,Sat Mar 26,Villanova,L,Neutral
70,Kansas,Tue Nov 9,Michigan St.,W,Neutral
71,Kansas,Fri Nov 12,Tarleton St.,W,Home
72,Kansas,Thu Nov 18,Stony Brook,W,Home
73,Kansas,Thu Nov 25,North Texas,W,Neutral
74,Kansas,Fri Nov 26,Dayton,L,Neutral
75,Kansas,Sun Nov 28,Iona,W,Neutral
76,Kansas,Fri Dec 3,St. John's,W,Semi-Away
77,Kansas,Tue Dec 7,UTEP,W,Semi-Home
78,Kansas,Sat Dec 11,Missouri,W,Home
79,Kansas,Sat Dec 18,Stephen F. Austin,W,Home
80,Kansas,Wed Dec 29,Nevada,W,Home
81,Kansas,Sat Jan 1,George Mason,W,Home
82,Kansas,Tue Jan 4,Oklahoma St.,W,Away
83,Kansas,Sat Jan 8,Texas Tech,L,Away
84,Kansas,Tue Jan 11,Iowa St.,W,Home
85,Kansas,Sat Jan 15,West Virginia,W,Home
86,Kansas,Tue Jan 18,Oklahoma,W,Away
87,Kansas,Sat Jan 22,Kansas St.,W,Away
88,Kansas,Mon Jan 24,Texas Tech,W,Home
89,Kansas,Sat Jan 29,Kentucky,L,Home
90,Kansas,Tue Feb 1,Iowa St.,W,Away
91,Kansas,Sat Feb 5,Baylor,W,Home
92,Kansas,Mon Feb 7,Texas,L,Away
93,Kansas,Sat Feb 12,Oklahoma,W,Home
94,Kansas,Mon Feb 14,Oklahoma St.,W,Home
95,Kansas,Sat Feb 19,West Virginia,W,Away
96,Kansas,Tue Feb 22,Kansas St.,W,Home
97,Kansas,Sat Feb 26,Baylor,L,Away
98,Kansas,Tue Mar 1,TCU,L,Away
99,Kansas,Thu Mar 3,TCU,W,Home
100,Kansas,Sat Mar 5,Texas,W,Home
101,Kansas,Thu Mar 10,West Virginia,W,Semi-Home
102,Kansas,Fri Mar 11,TCU,W,Semi-Home
103,Kansas,Sat Mar 12,Texas Tech,W,Semi-Home
104,Kansas,Thu Mar 17,Texas Southern,W,Neutral
105,Kansas,Sat Mar 19,Creighton,W,Neutral
