,Name,AdjEM,AdjO,AdjD,AdjT,Luck
0,Gonzaga,30.95,120.7,89.7,72.5,-0.039
1,Houston,27.7,116.8,89.1,63.6,-0.012
2,Kansas,27.49,119.2,91.7,69.3,0.041
3,Baylor,27.04,118.0,91.0,67.4,0.004
4,Arizona,25.96,118.6,92.6,72.2,0.048
5,Kentucky,25.72,120.0,94.3,67.5,-0.043
6,Texas Tech,25.64,110.7,85.0,66.5,-0.031
7,Duke,25.15,121.1,95.9,67.3,-0.01
8,Tennessee,25.1,111.5,86.4,67.4,0.029
9,Villanova,24.56,117.5,92.9,62.3,0.06
10,UCLA,24.26,115.9,91.7,65.2,-0.029
11,Auburn,23.2,112.7,89.5,70.1,-0.021
12,Iowa,22.72,120.5,97.8,69.7,-0.061
13,Purdue,22.36,121.0,98.6,66.1,0.022
14,Texas,20.88,112.5,91.6,63.8,-0.043
15,North Carolina,20.13,114.4,94.3,70.2,0.072
16,Saint Mary's,19.53,110.1,90.6,63.6,0.039
17,Arkansas,19.46,109.9,90.4,70.7,0.038
18,Virginia Tech,18.86,115.0,96.1,63.3,-0.062
19,Illinois,18.75,112.0,93.3,67.2,0.033
20,LSU,18.65,107.3,88.7,68.6,-0.052
21,Connecticut,18.55,113.8,95.3,64.8,-0.038
22,San Francisco,17.38,110.5,93.1,68.9,-0.042
23,Memphis,17.23,111.2,94.0,69.9,-0.028
24,San Diego St.,17.07,103.4,86.3,65.4,-0.003
25,TCU,17.02,108.7,91.7,65.9,0.014
26,Michigan,16.61,113.9,97.2,66.7,-0.019
27,Alabama,16.57,115.2,98.6,71.9,-0.022
28,Loyola Chicago,16.52,108.6,92.1,64.7,0.012
29,Oklahoma,16.48,111.0,94.6,65.1,-0.054
30,Ohio St.,16.24,115.5,99.3,65.0,-0.017
31,Providence,15.89,111.5,95.6,65.2,0.164
32,Texas A&M,15.69,109.1,93.4,66.7,-0.01
33,Oklahoma St.,15.6,103.8,88.2,67.6,-0.074
34,Wake Forest,15.56,110.7,95.1,70.6,-0.001
35,Murray St.,15.42,111.5,96.1,66.1,0.074
36,Wisconsin,15.34,109.3,94.0,66.5,0.105
37,Notre Dame,15.25,112.4,97.2,65.6,0.017
38,Boise St.,15.14,107.5,92.4,64.4,0.029
39,Davidson,14.85,116.8,101.9,64.7,-0.02
40,Miami FL,14.8,113.9,99.1,67.7,0.088
41,Michigan St.,14.76,111.9,97.1,67.5,0.052
42,Iowa St.,14.63,103.1,88.5,66.3,0.049
43,Washington St.,14.46,107.7,93.3,66.3,-0.084
44,Dayton,14.46,109.1,94.6,63.1,-0.039
45,Colorado St.,14.45,112.9,98.4,65.4,0.121
46,USC,14.14,109.8,95.6,66.2,0.06
47,Indiana,14.04,107.0,92.9,67.2,-0.02
48,Mississippi St.,13.86,109.7,95.8,65.6,-0.087
49,Creighton,13.78,105.9,92.2,67.2,0.086
50,UAB,13.67,112.4,98.8,68.9,-0.035
51,Seton Hall,13.61,107.1,93.5,67.3,0.033
52,Xavier,13.36,111.2,97.8,68.6,0.01
53,Vermont,13.2,111.1,97.9,64.9,-0.028
54,St. John's,13.07,110.3,97.2,73.6,-0.101
55,Marquette,13.06,109.2,96.2,70.9,0.021
56,North Texas,12.98,105.8,92.8,59.3,0.001
57,BYU,12.94,110.1,97.2,68.0,0.026
58,Florida,12.67,110.2,97.6,65.4,-0.018
59,Utah St.,12.63,109.8,97.1,66.8,-0.133
60,Kansas St.,12.6,109.6,97.0,66.6,-0.092
61,SMU,12.59,108.9,96.3,68.4,0.048
62,VCU,12.31,101.1,88.8,68.6,0.059
