,First AdjEM,First AdjO,First AdjD,First AdjT,First Luck,Second AdjEM,Second AdjO,Second AdjD,Second AdjT,Second Luck,Location,Result
0,30.95,120.7,89.7,72.5,-0.039,-9.26,95.6,104.9,71.4,0.032,1,1
1,30.95,120.7,89.7,72.5,-0.039,20.88,112.5,91.6,63.8,-0.043,1,1
2,30.95,120.7,89.7,72.5,-0.039,-8.09,97.3,105.4,67.8,0.128,1,1
3,30.95,120.7,89.7,72.5,-0.039,-2.48,107.9,110.4,62.0,0.113,1,1
4,30.95,120.7,89.7,72.5,-0.039,-13.77,96.2,110.0,67.5,-0.001,0,1
5,30.95,120.7,89.7,72.5,-0.039,24.26,115.9,91.7,65.2,-0.029,0,1
6,30.95,120.7,89.7,72.5,-0.039,25.15,121.1,95.9,67.3,-0.01,0,0
7,30.95,120.7,89.7,72.5,-0.039,-3.39,99.6,103.0,63.1,-0.037,1,1
8,30.95,120.7,89.7,72.5,-0.039,16.57,115.2,98.6,71.9,-0.022,1,0
9,30.95,120.7,89.7,72.5,-0.039,-11.55,94.2,105.7,62.2,0.06,1,1
10,30.95,120.7,89.7,72.5,-0.039,25.64,110.7,85.0,66.5,-0.031,0,1
11,30.95,120.7,89.7,72.5,-0.039,-16.91,95.5,112.4,65.1,0.007,1,1
12,30.95,120.7,89.7,72.5,-0.039,-13.57,90.2,103.8,67.7,-0.064,1,1
13,30.95,120.7,89.7,72.5,-0.039,-9.7,97.4,107.1,69.9,-0.023,1,1
14,30.95,120.7,89.7,72.5,-0.039,12.94,110.1,97.2,68.0,0.026,1,1
15,30.95,120.7,89.7,72.5,-0.039,10.83,111.8,101.0,70.8,-0.014,-1,1
16,30.95,120.7,89.7,72.5,-0.039,17.38,110.5,93.1,68.9,-0.042,1,1
17,30.95,120.7,89.7,72.5,-0.039,-2.71,105.8,108.5,65.9,-0.003,1,1
18,30.95,120.7,89.7,72.5,-0.039,-0.89,102.7,103.6,69.1,0.045,1,1
19,30.95,120.7,89.7,72.5,-0.039,-5.01,96.3,101.3,65.6,0.09,-1,1
20,30.95,120.7,89.7,72.5,-0.039,12.94,110.1,97.2,68.0,0.026,-1,1
21,30.95,120.7,89.7,72.5,-0.039,-10.97,95.0,106.0,68.2,-0.048,1,1
22,30.95,120.7,89.7,72.5,-0.039,19.53,110.1,90.6,63.6,0.039,1,1
23,30.95,120.7,89.7,72.5,-0.039,-9.7,97.4,107.1,69.9,-0.023,-1,1
24,30.95,120.7,89.7,72.5,-0.039,10.83,111.8,101.0,70.8,-0.014,1,1
25,30.95,120.7,89.7,72.5,-0.039,17.38,110.5,93.1,68.9,-0.042,-1,1
26,30.95,120.7,89.7,72.5,-0.039,19.53,110.1,90.6,63.6,0.039,-1,0
27,30.95,120.7,89.7,72.5,-0.039,17.38,110.5,93.1,68.9,-0.042,0,1
28,30.95,120.7,89.7,72.5,-0.039,19.53,110.1,90.6,63.6,0.039,0,1
29,30.95,120.7,89.7,72.5,-0.039,1.6,101.5,99.9,67.3,0.062,0,1
30,30.95,120.7,89.7,72.5,-0.039,17.23,111.2,94.0,69.9,-0.028,0,1
31,30.95,120.7,89.7,72.5,-0.039,19.46,109.9,90.4,70.7,0.038,0,0
32,27.7,116.8,89.1,63.6,-0.012,3.97,108.8,104.9,69.0,0.06,1,1
33,27.7,116.8,89.1,63.6,-0.012,-4.15,105.6,109.7,67.5,0.01,1,1
34,27.7,116.8,89.1,63.6,-0.012,11.23,107.6,96.4,59.5,0.025,1,1
35,27.7,116.8,89.1,63.6,-0.012,3.89,102.6,98.7,63.9,0.008,0,1
36,27.7,116.8,89.1,63.6,-0.012,15.34,109.3,94.0,66.5,0.105,0,0
37,27.7,116.8,89.1,63.6,-0.012,10.33,110.0,99.6,67.9,0.014,0,1
38,27.7,116.8,89.1,63.6,-0.012,-15.42,98.4,113.8,71.2,-0.06,1,1
39,27.7,116.8,89.1,63.6,-0.012,-1.32,103.8,105.1,72.6,0.112,1,1
40,27.7,116.8,89.1,63.6,-0.012,-8.09,97.3,105.4,67.8,0.128,1,1
41,27.7,116.8,89.1,63.6,-0.012,16.57,115.2,98.6,71.9,-0.022,-1,0
42,27.7,116.8,89.1,63.6,-0.012,-1.15,101.5,102.6,69.6,-0.022,1,1
43,27.7,116.8,89.1,63.6,-0.012,15.6,103.8,88.2,67.6,-0.074,0,1
